id,Name,href,comunidad,provincia,municipio,descripcion,direccion,latitude,longitude
483,Catedral del Salvador,/es/lugares-interes/catedral-salvador/,Comunitat Valenciana,Alicante-Alacant,Orihuela,"La Catedral del Salvador es la iglesia parroquial más importante de Orihuela. Se levantó sobre la mezquita Aljama en el primer tercio del siglo XIV. Es de estilo gótico y fue catedral a partir del año 1564, al concedérsele el obispado a la ciudad. Tiene planta de cruz latina y tres puertas de acceso: la de las Cadenas y la de Loreto, que son góticas, y la de la Anunciación, de estilo renacentista. El Museo de Arte Sacro está también en la catedral y, en él, se guardan importantes obras de arte, entre ellas ""La Tentación de Santo Tomás"", de Velázquez.","['Calle Ramon y Cajal, s/n.']",38.08554097199769,-0.947378526165527
484,Catedral de San Cristóbal de La Laguna,/es/lugares-interes/catedral-san-cristobal-laguna/,Canarias,Tenerife,San Cristóbal de la Laguna,"Se edificó sobre una ermita de 1511. En 1515 se empezó a construir una iglesia mudéjar. En el siglo XVII, concretamente en 1618, el obispo Antonio Carrionero mandó construir la torre del templo y, en el XVIII, se edifican varias capillas en el interior. El edificio actual, de estilo neogótico, se realizó entre 1904 y 1915. Posee tres naves con bóvedas de crucería. En 1916 se construye la torre derecha. La fachada es una reconstrucción de 1825, de estilo neoclásico.","['Plaza de Nuestra Señora de los Remedios, s/n']",28.489360823458533,-16.316609938098168
485,Catedral de San Juan Bautista,/es/lugares-interes/catedral-san-juan-bautista-albacete/,Castilla-La Mancha,Albacete,Albacete,"La Catedral está construida sobre la antigua iglesia de San Juan. Fue comenzada a principios del siglo XVI y, más tarde, parte de ella reformada por Diego de Siloé, al gusto del estilo renacentista. Pero, es en época reciente cuando se han terminado los trabajos, dando prueba de ello la portada principal, que es moderna. En el interior se conservan bellos e interesantes retablos, como el de la Capilla de la Virgen de los Llanos, del siglo XVI, atribuido al Maestro de Albacete. Tiene excelentes capillas de estilo gótico con bóvedas estrelladas. Hay que destacar en la sacristía una pila renacentista. Las bóvedas de la nave central son barrocas y descansan sobre columnas de estilo jónico estriado que fueron construidas por Gregorio Díaz Palacios.",['Plaza de la Virgen de los Llanos s/n'],38.9955728325168,-1.85631256467392
486,Catedral de San Juan Bautista,/es/lugares-interes/catedral-san-juan-bautista-badajoz/,Extremadura,Badajoz,Badajoz,"Exteriormente, la catedral está construida a modo de fortaleza, para dotarle de seguridad debido a las continuas guerras que padecía la ciudad. Su contrucción se inició tras la conquista de Badajoz por el rey Alfonso IX, en el siglo XIII. El edificio está coronado de almenas y tiene una alta torre de planta cuadrangular, con ventanales en el segundo cuerpo. Tiene tres puertas de entrada, la principal es la de San Juan Bautista, está coronada por la imagen del santo. Interiormente tiene planta basilical con tres naves de cinco tramos, crucero y cabecera de tres ábsides. Cubierta de bóvedas del gótico decadente.",['Plaza de España s/n'],38.87794255755071,-6.96979549430663
487,Catedral de Santa María de Astorga,/es/lugares-interes/catedral-santa-maria-astorga/,Castilla y León,León,Astorga,"Tiene estructura de gótico tardío, con algunos elementos barrocos y platerescos, como la portada principal y dos de sus torres. El retablo mayor tiene forma ochavada, una resolución de su creador, Gaspar Becerra, para adaptarlo a la forma del ábside. La portada principal, de estilo gótico florido, es de una gran belleza, con profusión de adornos vegetales y angelotes. Las puertas de la sacristía son de Gil de Hontañón. Interesante es un pulpito de nogal con bajorrelieves que se atribuye al maestro Becerra. También en su interior se recogen obras escultóricas de gran valor, como una Inmaculada de Gregorio Fernández. En una de las salas a las que se accede por el claustro está el Museo Diocesano.",['Plaza de la Catedral s/n'],42.457286833027,-6.05691747027821
488,Concatedral de Santa María,/es/lugares-interes/concatedral-santa-maria-fuente-mayor/,Castilla-La Mancha,Guadalajara,Guadalajara,Es de estilo mudéjar y fue reformada en el siglo XVII. El altar mayor es de gran belleza. En su interior tiene tres naves del siglo XIV. La fachada principal tiene un pórtico con columnas y capiteles renacentistas. Las otras dos puertas de acceso tienen arcos de herradura. La torre es de mampostería recubierta de ladrillo. Tiene en su interior un interesante púlpito de alabastro y también conserva interesantes enterramientos. Los arcos del interior son de medio punto. En el siglo XVII se construyó la cúpula del crucero.,"['Plaza de Santa María, s/n.']",40.6345735810331,-3.16276632684746
489,Catedral de Santa María de Mediavilla,/es/lugares-interes/catedral-santa-maria-mediavilla/,Aragón,Teruel,Teruel,"El templo se erigió sobre la iglesia de Santa María de Mediavilla. Posee tres naves de mampostería y ladrillo, como consecuencia de la ampliación de la anterior estructura románica de 1171. El morisco Juzaff fue el responsable de las obras que sustituyeron los ábsides románicos por los gótico-mudéjares, de los cuales se conserva el de la capilla mayor. La torre mudéjar data del siglo XIII y presenta un paso inferior cubierto por una bóveda de cañón apuntado que da acceso a la calle. Es de planta cuadrada y posee tres cuerpos profusamente decorados con cerámica. El artesonado de la nave central, con armadura de par y nudillo, es el más representativo de la época por su gran valor arquitectónico y decorativo. Mide 32 metros de longitud y data del siglo XIV. El cimborrio de la nave central es del siglo XVI.",['Plaza de la Catedral s/n'],40.34383371658378,-1.107424854141985
490,Catedral de Santa María del Prado,/es/lugares-interes/catedral-santa-maria-prado/,Castilla-La Mancha,Ciudad Real,Ciudad Real,"La primera remodelación la sufrió durante el reinado de Alfonso X el Sabio. La portada del mediodía y el retablo del altar mayor son de estilo renacentista. La portada del Perdón, que se cree es la que daba acceso a la iglesia de la época de Alfonso X, es gótica con elementos románicos. En la sacristía destacan varios lienzos, un porta-paz de Becerril y una excelente cajonería barroca. La torre nueva se terminó de construir en el siglo XIX y consta de cuatro cuerpos labrados en piedra.",['Jardín del Prado'],38.98662507539489,-3.9308335397544494
491,Catedral Santa María la Real de la Almudena,/es/lugares-interes/catedral-santa-maria-real-almudena/,Comunidad de Madrid,Madrid,Madrid,"A finales del siglo XIX, sobre la antigua iglesia de Santa María la Mayor, se comenzó a construir la Catedral de la Almudena, erigida para honrar a la Virgen patrona de Madrid. En 1883 se puso la primera piedra de este impresionante monumento, situado en uno de los enclaves más bellos de la ciudad. En 1911 se abrió el culto a la cripta, pero la construcción quedó paralizada hasta después de la Guerra Civil, cuando adjudicaron el concurso a los arquitectos Fernando Chueca Goitia y Carlos Sidro, quienes dieron un impulso definitivo a la obra. A pesar de todo, el proceso de ejecución fue muy lento, aunque al final, en 1993, la catedral fue consagrada al culto por Su Santidad el Papa Juan Pablo II. El interior del templo mantiene un estilo gótico, aunque el exterior es clasicista.","['Calle Bailén, 10']",40.41571223065993,-3.7145864222289866
492,Catedral de Santa María del Romeral,/es/lugares-interes/catedral-santa-maria-romeral/,Aragón,Huesca,Monzón,"Fue construida entre los siglos XII-XIII sobre el primer templo cristiano de la ciudad, consagrado en 1095, poco después de la Reconquista. Se trata, así pues, de un templo eminentemente románico, aunque en el siglo XV y en posteriores momentos ha experimentado diversas remodelaciones. La planta consta de tres naves, crucero y triple ábside, que en su mayoría se cubren bajo bóvedas de cañón o levemente apuntadas, como corresponde a la época. Presenta un aspecto amplio y sobrio, influido seguramente por el espíritu cisterciense que emanaba del contiguo convento-castillo de la Orden del Temple de Monzón. De las reformas posteriores, cabe destacar la torre barroco-mudéjar (siglo XVII) que se alza sobre el crucero, que descansa sobre la antigua linterna de la cúpula original de la iglesia, con bóvedas de crucería góticas.","['Plaza Santa María, s/n']",41.910255,0.19434200000000001
493,Catedral de Santa María,/es/lugares-interes/catedral-santa-maria-vitoria/,País Vasco,Araba-Álava,Vitoria-Gasteiz,"La Catedral de Santa María tiene sus orígenes en un proyecto de iglesia-fortaleza de principios del siglo XIII. Posteriormente, la construcción se culminó en varias fases durante los siglos XIV y XV, bajo el estilo gótico. La catedral está soportada por enormes columnas totalmente abombadas por el peso y un hermoso y frágil triforio.Ahora puede visitar la Catedral de una forma diferente, ya que ""está abierta por obras"". Gracias al Plan de Restauración de la Catedral descubrirá en directo cómo se trabaja para rehabilitar este edificio. Dichos trabajos han sido merecedores del Premio Especial Europa Nostra, que concede la Unión Europea en materia de conservación y mejora del patrimonio cultural.",['Calle Cuchillería 95-97'],42.8507083175152,-2.67193933108909
494,Catedral de Santiago,/es/lugares-interes/catedral-santiago-bilbao/,País Vasco,Bizkaia,Bilbao,"El interior de la catedral tiene tres naves, con bóvedas de crucería. Aunque es gótica, la actual fachada y la torre fueron construidas en el siglo XIX. Son de gran belleza el coro y el claustro, construido este último en gótico florido. La cripta está construida en lo que era la ermita original, aprovechando los muros de la misma como parte de su construcción. Tiene dos pórticos, uno renacentista y otro neoclásico.",['Plazuela de Santiago 1'],43.25715097280154,-2.9240262508392334
495,Catedral de Santiago de Compostela,/es/lugares-interes/catedral-santiago-compostela/,Galicia,A Coruña,Santiago de Compostela,"La construcción de la catedral se inicia en el año 1075, bajo el reinado de Alfonso VI y promovida por el obispo Diego Peláez. Las obras se llevaron a cabo con la dirección del maestro Esteban sobre los restos de antiguos templos erigidos en devoción al santo. Fue construida con tres naves y planta de cruz latina, en una superficie de unos 8.300 metros cuadrados. Sus múltiples ampliaciones han aunado en el edificio diversos estilos arquitectónicos (románico, gótico, barroco, plateresco y neoclásico). ",['Plaza Obradoiro'],42.88038261060621,-8.544970750808714
496,Catedral de Santo Domingo de la Calzada,/es/lugares-interes/catedral-santo-domingo-calzada/,La Rioja,La Rioja,Santo Domingo de la Calzada,"Sus orígenes se remontan al año 1158, en que comenzó a edificarse. En los siglos XIV y XVI sufrió distintas modificaciones hasta presentar su aspecto actual. Consta de tres naves con crucero, girola, triforio y bóvedas de crucería. De su exterior destaca principalmente el ábside románico, la torre barroca y la portada del Mediodía, o del Santo, con arco de medio punto, imágenes en hornacinas y óculos circulares. El retablo mayor está realizado en alabastro y nogal, terminado en 1545. En la sillería del coro, destaca su ornamentación plateresca del siglo XVI. Entre sus capillas sobresalen la del Sepulcro de Santo Domingo (con estatua yacente); la de Santa Teresa (panteón de los marqueses de Ciriñuela); la de la Magdalena (una de las más ricas de la catedral); la del Santo Cristo (con dos retablos, uno renacentista y otro barroco); la de San Pedro (que conserva parte de su estructura románica). El claustro es del siglo XIV, pero modificado en el XVI. En la sacristía y en la sala capitular se guardan importantes tesoros artísticos, como varios trípticos hispano-flamencos de los siglos XV y XVI, y distintas piezas de orfebrería.","['Plaza del Santo, s/n.']",42.4340944664342,-2.95372070206871
497,Catedral de Segorbe,/es/lugares-interes/catedral-segorbe/,Comunitat Valenciana,Castellón-Castelló,Segorbe,"Se construyó en el siglo XIII adosada a la muralla, aunque se fue completando con diversas obras hasta el siglo XV. El templo gótico, posee una nave y capillas laterales. La portada es de los siglos XVI y XVII. El coro tiene una sillería barroca del siglo XVIII. El claustro es gótico y en uno de sus ángulos, se encuentra la Sala Capitular, del siglo XV. El Museo Catedralicio está en el claustro alto, al que se sube por una escalera del siglo XVIII. En él se guarda un relieve italiano en mármol de Carrara atribuido a Donatello.","['C/ Santa María, 12']",39.8523321,-0.4881291773597241
498,Catedral de Segovia,/es/lugares-interes/catedral-segovia/,Castilla y León,Segovia,Segovia,"Edificada en el punto más alto de la ciudad, la catedral de Segovia comenzó a edificarse en el año 1525, siendo rey Carlos V. Es de estilo gótico tardío y se levantó tras el incendio de la catedral vieja románica en el año 1520. Posee planta de tres naves, con capillas laterales y cabecera semicircular con girola. El templo, erigido siguiendo los planos de Juan Gil de Hontañón, posee tres entradas: en su fachada principal está la Puerta del Perdón, toda ella obra de Juan Guas; en la fachada sur está la Puerta de San Geroteo; y la Puerta de San Frutos. Posee 105 metros de largo por 50 de ancho y 33 metros de altura en la nave mayor. El retablo mayor está elaborado con mármol, jaspe y bronce. Fue consagrada en el año 1768.","['C/ Marqués del Arco, 1']",40.950146873094944,-4.125337280570638
499,Catedral de la Seo de Urgell,/es/lugares-interes/catedral-seo-urgell/,Cataluña,Lleida,"Seu d'Urgell, La","Fue el obispo San Ermengol quien inició las obras de la catedral románica en el siglo XI, sin embargo, medio siglo más tarde se derribó el templo y se erigió el que hoy perdura. La construcción se concluyó en 1183. Posee un ejemplar estilo románico con influencias lombardas en la decoración exterior. Tiene planta basilical con tres naves y un crucero con cinco ábsides. La fachada tiene tres portadas. El claustro tiene, en los capiteles, decoraciones con motivos vegetales y de figuras humanas. El coro, el enrejado, las vidrieras y los retablos son del siglo XV y también hay algunos elementos barrocos del XVIII. En el Museo Diocesano, se encuentra el Comentario del Apocalipsis, una miniatura mozárabe de principios del siglo X.",['Calle Santa María s/n'],42.3578483918688,1.46166629518372
500,Catedral de Sevilla,/es/lugares-interes/catedral-sevilla/,Andalucía,Sevilla,Sevilla,"La Catedral se alza en el emplazamiento de lo que, en el siglo XII, era la Gran Mezquita, de la que se conserva su alminar, conocido como la Giralda, por una veleta que lo remata desde el siglo XVI. Asimismo, son también partes de la antigua mezquita el patio de las Abluciones y la actual Puerta del Perdón. Fue convertida en templo cristiano al conquistar la ciudad Fernando III de Castilla en el 1248. Sus etapas constructivas pasan por el período mudéjar, gótico, renacentista, barroco y neoclásico. La Catedral tiene su entrada por la Plaza de la Virgen de los Reyes. Posee cinco naves (la principal de 36 metros de altura) y su planta es un rectángulo de 116 metros de longitud por 76 metros de anchura. La altura máxima se alcanza en el crucero, con 40 metros. El retablo mayor se realizó en varias fases constructivas, participando en él autores como los hermanos Jorge Fernández Alemán y Alejo Fernández, Roque Balduque, Pedro Millán, Juan Bautista Vázquez el Viejo y Pedro de Heredia. La sala capitular, renacentista, es de la segunda mitad del siglo XVI. La Sacristía Mayor es plateresca. Los restos de Cristóbal Colón se encuentran custodiados en este templo.","['Avenida de la Constitución, s/n.']",37.385994034148005,-5.993114240467997
501,Catedral de Sigüenza,/es/lugares-interes/catedral-siguenza/,Castilla-La Mancha,Guadalajara,Sigüenza,"Su construcción dio comienzo en el siglo XII, promovida por el obispo don Bernardo de Agén, sin embargo, se prolongaron las obras arquitectónicas hasta el siglo XVI. El templo consta de tres naves, una capilla mayor con deambulatorio y cimborrio. Entre las capillas destaca la de San Pedro, con reja de Juan Francés; la de la Anunciación, que tiene detalles mudéjares; o la de San Marcos. En la capilla de los Arces está la estatua mortuoria de Martín Vázquez el Doncel, obra excepcional de finales del siglo XV. En el muro meridional del presbiterio está el sepulcro, de estilo gótico, del obispo Alonso Carrillo de Albornoz, cardenal de San Eustaquio, así como el del caballero Gómez Carrillo de Acuña y su esposa.","['Calle Serrano Sanz, s/n.']",41.068235312404894,-2.64159547026603
502,Catedral de Solsona,/es/lugares-interes/catedral-solsona/,Cataluña,Lleida,Solsona,"Sus orígenes se remontan a una iglesia románica, el templo gótico es del siglo XIV. De la obra románica se conservan tres ábsides decorados interiormente con arquerías, una parte del crucero y los tramos inferiores del campanario, adosado al templo. El actual templo tiene nave única y capillas laterales, con transepto y la cubierta es de crucería. En el siglo XVII, Claudi Casals construyó un nuevo tramo en la nave, cubierto por bóveda de cañón y levantó la Capilla de la Virgen del Claustro. Durante el siglo XVIII se hicieron añadidos barrocos en las fachadas y la galería superior del claustro, neoclásica. Interiormente conserva una talla románica de la Virgen del Claustro, realizada en piedra.",['Plaza de la Catedral s/n'],41.99438417177289,1.5192751091467003
503,Catedral de Tarazona,/es/lugares-interes/catedral-tarazona/,Aragón,Zaragoza,Tarazona,"Reúne un conjunto de estilos diversos. Van desde el primer gótico del siglo XIII hasta sus últimas manifestaciones del siglo XV, para enlazar con el renacimiento del siglo XVI, aderezados con la tradición arquitectónica del mudéjar aragonés. Fue declarado Monumento Histórico Artístico en 1931. El acceso principal está presidido por una portada de cantería protegida por un amplio pórtico barroco construido entre 1733 y 1735. El claustro es una de las creaciones maestras de la arquitectura mudéjar aragonesa en su etapa final. Destaca como elemento más llamativo el complejo sistema de yeserías que recubren los ventanales, rehechas en buena medida en el siglo pasado.",['Plaza de la Seo s/n'],41.903521500000004,-1.7255600999999388
504,Catedral de Tarragona,/es/lugares-interes/catedral-tarragona/,Cataluña,Tarragona,Tarragona,"Su construcción se comenzó en 1184 sobre los restos de una antigua basílica cristiana que, a su vez, ocupó el solar de una mezquita árabe del siglo X. Es de estilo románico de transición al gótico. Tiene planta de cruz latina, con tres naves y crucero acentuado sobre el que se alza la cúpula octogonal. Las naves terminan en tres ábsides circulares. En la fachada principal destacan dos puertas románicas del siglo XII, donde se aprecia un precioso rosetón calado. La puerta tiene en el parteluz una imagen de la Virgen con el Niño. En su interior destaca el retablo mayor del siglo XV, obra de Pere Johan. Realizado en alabastro policromado, en él llaman la atención las esculturas de la Virgen, Santa Tecla y San Pablo. Las joyas góticas del templo son el Sepulcro del Arzobispo, situado en el altar mayor, y la Capilla de Santa María, del siglo XIV. En el Museo Diocesano resalta la colección de tapices procedentes de los talleres de Bruselas, junto a un retablo realizado por Jaime Huguet.","['Plaça Pla de la Seu, s/n']",41.1192,1.25806
505,Catedral de Toledo,/es/lugares-interes/catedral-toledo/,Castilla-La Mancha,Toledo,Toledo,"El templo se erigió sobre una mezquita musulmana que, anteriormente, fue una iglesia de los tiempos de Recaredo, en el siglo VI. El rey San Fernando y el arzobispo pusieron la primera piedra en el año 1226. Posteriormente, fueron terminándose las quince capillas de la girola. Hacia el año 1300 se termina la nave del crucero, aunque las obras prosiguieron durante los dos siglos siguientes.",['Calle Cardenal Cisneros 1'],39.858573,-4.025466599999959
506,Catedral de Tortosa,/es/lugares-interes/catedral-tortosa/,Cataluña,Tarragona,Tortosa,"Comenzó a construirse en 1347 sobre los restos de una primitiva catedral románica y se terminó dos siglos más tarde. En el siglo XVIII se realiza la fachada en estilo barroco. Proyectada por Benito Dalguayre, presenta tres naves con capillas entre los contrafuertes y girola con capillas radiales. En el lado sur se encuentra adosado el claustro, obra del siglo XIII, accesible desde el exterior por la Puerta de la Olivera. En su interior destaca el retablo mayor, con pinturas del siglo XIV, la pila bautismal y la sillería del coro, realizada por Cristóbal de Salamanca.","['Calle Porta del Palau, s/n']",40.81424819224276,0.5223787376426303
507,Catedral de Tudela,/es/lugares-interes/catedral-tudela/,Comunidad Foral de Navarra,Navarra,Tudela,"La catedral fue construida entre los siglos XII y XIII. El templo tiene tres portadas, la norte se denomina de Santa María, al sur se encuentra la portada del Portal o de los Peones y la principal es la del Juicio Final, de estilo protogótico, en ella se representa el cumplimiento de una sentencia pronunciada por el Juez Eterno. La catedral tiene planta de cruz latina con tres naves, sobresaliendo el crucero, totalmente gótico. Está cubierta por bóvedas de crucería, excepto las capillas absidiales que se cubren con bóvedas semicirculares y de cañón apuntado. En el interior destaca el retablo pintado por Pedro Díaz de Oviedo. También hay que destacar la imagen en piedra de la Virgen Blanca, del siglo XII. El templo está rematado por una torre románica a un lado de la Puerta del Juicio y al otro lado una torre renacentista de ladrillo.","['Plaza Vieja, s/n.']",42.0638037080844,-1.6059052681787398
508,Catedral de Tui,/es/lugares-interes/catedral-tui/,Galicia,Pontevedra,Tui,"La catedral comenzó a ser construida el año 1120, aunque no sería consagrada hasta 1225, ya en tiempos del rey Alfonso IX. Tiene apariencia de fortificación, especialmente por sus torres almenadas. Su estructura es claramente románica, aunque posteriormente se le añadieron diversos elementos góticos decorativos. Del románico destacan los capiteles que rematan las columnas del interior, mientras que del gótico destaca el pórtico de la entrada principal.","['Plaza de San Fernando, s/n.']",42.0460565820423,-8.645059285629339
509,Catedral de Valencia,/es/lugares-interes/catedral-valencia/,Comunitat Valenciana,Valencia-València,Valencia,"La Catedral fue edificada sobre una antigua mezquita, y comenzó a levantarse en el siglo XIII, aunque sufrió numerosos retoques hasta el siglo XVII. En ella confluyen varios estilos arquitectónicos, con un claro predominio del gótico. Una de las joyas del interior del templo es la Capilla del Santo Cáliz, la antigua sala capitular, con su hermosa bóveda de estrella, una imagen del cielo con los 12 apóstoles y la coronación de la Virgen. De entre todos sus objetos resalta la reliquia del Santo Cáliz, un vaso del siglo I d. de C., que, según la tradición, utilizó Jesús para instituir la Eucaristía. Mientras, en el exterior catedralicio sobresalen la Puerta del Palau, la más antigua del templo, de estilo románico con elementos mudéjares, y la de los Apóstoles (siglo XIV). Precisamente aquí, cada jueves a las 12.00 horas, actúa el Tribunal de las Aguas. Se trata de una institución establecida por el rey Jaime I en la Edad Media, formada por ocho labradores elegidos cada dos años por los regantes de la huerta de Valencia, y cuyo objetivo es el de impartir justicia en el ámbito del riego y la distribución de agua del río Turia, a través de un proceso oral y en lengua valenciana cuyas resoluciones son inapelables. El Tribunal de las Aguas se mantiene aún hoy en día como una institución modelo. La UNESCO lo declaró Patrimonio Cultural Inmaterial de la Humanidad.","['Plaza Almoina, s/n']",39.475689700000004,-0.3744722000000138
510,Catedral de Valladolid,/es/lugares-interes/catedral-valladolid/,Castilla y León,Valladolid,Valladolid,"Es un edificio renacentista realizado por Juan de Herrera a principios del siglo XVI. En el exterior, la fachada principal consta de dos tramos con columnas: la parte inferior, obra de Juan de Herrera, y la superior, de Churriguera, caracterizada por su abundante decoración. El interior posee tres naves con capillas laterales entre los contrafuertes. El retablo (s. XV) es de Juan de Juni y en él aparecen representadas figuras de santos. Se puede visitar la torre sur y dentro del templo se encuentra también el Museo Catedralicio.",['Calle Arribas 1'],41.65223973911911,-4.723038457444311
511,Catedral de Vic,/es/lugares-interes/catedral-vic/,Cataluña,Barcelona,Vic,Templo erigido en el siglo XI del que solamente se conserva en la actualidad la cripta. Del templo fundado por el abad Oliba en 1038 se conserva el campanario románico. Constaba de una cabecera con un largo crucero al que se abrían dos absidiolos en cada brazo y una sola nave. La obra actual data de finales del siglo XVIII y es de estilo neoclásico.,['Plaza Catedral s/n'],41.9281546920383,2.25502715392588
512,Catedral Vieja de Lleida (Seu Vella),/es/lugares-interes/catedral-vieja-lleida-seu-vella/,Cataluña,Lleida,Lleida,"Edificada entre los siglos XIII al XV, está dedicada a Santa María. Se erigió sobre una antigua mezquita a partir del 1203, bajo la dirección de Pere de Coma. Se consagró en el 1278. Es de planta románica con tres naves, crucero con cimborrio octogonal y cinco ábsides en la cabecera.",['Turó la Seu Vella'],41.6126127165579,0.621393514943846
513,Catedral de Zamora,/es/lugares-interes/catedral-zamora/,Castilla y León,Zamora,Zamora,"La catedral se construyó entre 1151 y 1174 bajo el estilo románico, del que es uno de los ejemplos más significativos de España. Diversas obras posteriores añadieron elementos góticos (ábsides y cabecera) y herrerianos (claustro). Se trata de un templo de tres naves, con transepto y tres ábsides semicirculares. Su cimborrio de 16 arcos dobles sostiene la cúpula escamada, que es el símbolo de la ciudad de Zamora y que la diferencia de otras catedrales. Posee una única torre-campanario de planta cuadrada. En su interior guarda numerosas obras de arte, como la sillería del coro, el Cristo de las Injurias y una imagen de Nuestra Señora de la Majestad. En la Puerta del Obispo, los dos tímpanos están ocupados por sendos relieves: en uno se representa a la Virgen con el Niño y en el otro a los apóstoles Juan y Pablo.","['Plaza de la Catedral, s/n.']",41.4993066654004,-5.753904276934209
514,Catedral de Salamanca,/es/lugares-interes/catedrales-salamanca/,Castilla y León,Salamanca,Salamanca,"La Catedral Vieja es de estilo románico y en ella destaca la Torre del Gallo. Dentro de este templo, que empezó a construirse a finales del siglo XII, se encuentra la capilla de San Martín o del Aceite. También hay que resaltar el retablo mayor, que data del siglo XV, creado por varios pintores encabezados por Dello Delli. ",['Plaza Juan XXIII s/n'],40.96143103924979,-5.66564398191367
515,Caverna de la Peña de Candamo,/es/lugares-interes/caverna-pena-candamo/,Principado de Asturias,Asturias,Candamo,"Aunque de difícil datación, se cree que estas pinturas prehistóricas, descubiertas en el año 1914, pertenecen al denominado período Solutrense, del Paleolítico Superior, hace unos 18.000 años. Tiene unos 60 metros de largo. Consta de diversas estancias cuyo recorrido comienza con la denominada Galería de Entrada. El salón de los Grabados contiene el panel más importante de la caverna: el Muro de los Grabados, de unos seis metros de largo por ocho de ancho. Posee una compleja composición de figuras en las que están representados ciervos, caballos, bisontes, cabras, un rebeco y otros animales de difícil identificación. Las técnicas utilizadas son variadas, mezclando la pintura y el grabado. El Camarín, en el fondo de este salón, es quizás el conjunto más espectacular de la cueva. En lo alto de una cascada estalagmítica se descubre este lienzo de pared en el que se representan bóvidos, caballos, una cabra y una figura incompleta de toro. En este mismo salón se encuentra, también, el Talud Estalagmítico, un mural con figuras de caballo que precede el acceso a la Galería de las Batiscias. En la Sala de los Signos Rojos se representaron signos en forma de puntos, líneas y otros símbolos que algunos interpretan como femeninos y masculinos.","['33828', 'San Román,', 'Candamo,', 'Asturias', '(Principado de Asturias)']",43.4474244,-6.078510400000027
516,Cementerio de peregrinos,/es/lugares-interes/cementerio-peregrinos/,Castilla y León,León,Vega de Valcarce,Se conservan restos de este monumento.,"['24524', 'Hospital,', 'Vega de Valcarce,', 'León', '(Castilla y León)']",42.6727974,-6.9904187
517,El cerro Calderico y sus doce molinos,/es/lugares-interes/cerro-calderico-doce-molinos/,Castilla-La Mancha,Toledo,Consuegra,"El cerro Calderico es una crestería rocosa que se alza por encima de la llanura manchega. Allí se encuentra el castillo de la Muela o de Consuegra, de origen musulmán, pero modificado y ampliado durante el siglo XII por la Orden de San Juan de Jerusalén. Consta de tres recintos defensivos y se ha restaurado en las últimas décadas. Pero este cerro es conocido sobre todo porque alberga doce de los trece molinos de viento tradicionales que tuvo, todos ellos bautizados con nombres extraídos de la inmortal obra del Quijote. Cuatro de ellos conservan en buen estado la maquinaria. Destaca el Molino Sancho, del siglo XVI, escenario de la Fiesta de la Rosa del Azafrán de Consuegra.",['Cerro Calderico'],39.4523381,-3.6075147999999904
518,Chalet Sotileza,/es/lugares-interes/chalet-sotileza/,Cantabria,Cantabria,Castro-Urdiales,"Obra del arquitecto Leonardo Rucabado, posee características de la ""Escuela Montañesa"", basada en una arquitectura típica de Cantabria.",['Paseo Ocharán Mazas 28 (en la zona de la playa )'],43.382775099999996,-3.21957
519,Circo Romano de Mérida,/es/lugares-interes/circo-romano-merida/,Extremadura,Badajoz,Mérida,"De forma rectangular, está dividido en dos por la espina (plataforma central elevada) en sentido longitudinal, que en su origen debió estar recubierta de mármol. Se puede apreciar la arena donde se disputaban las carreras, las cáveas o gradas y las puertas por donde salían los competidores llamadas cárceres. Es uno de los circos mejores conservados.",['Recinto arqueológico'],38.92019228753588,-6.33224428302878
520,Circo Romano,/es/lugares-interes/circo-romano/,Cataluña,Tarragona,Tarragona,"El circo fue construido a finales del siglo I d. C., posiblemente en tiempos del emperador Domiciano. El edificio estaba dedicado a la celebración de espectáculos, como las carreras de cuádrigas. Estuvo cumpliendo la misma función hasta el siglo V.",['Rambla Vella s/n'],41.1153557977775,1.25705340250418
521,Círculo de Bellas Artes,/es/lugares-interes/circulo-bellas-artes/,Comunidad de Madrid,Madrid,Madrid,"En la calle de Alcalá se sitúa este impresionante edificio, obra del arquitecto Antonio Palacios, y que es una referencia en la vida cultural de Madrid. Comenzó a construirse en 1921 y fue inaugurado en 1926. De planta rectangular y una fachada de tendencia piramidal, resalta por su ornamentación, con esculturas como la de la diosa Minerva, relieves y pinturas. La construcción, de 48 metros de altura, destaca por su espectacular interior, que cuenta con salas de exposiciones, biblioteca, un hermoso salón-comedor, además del salón de Baile y la sala de Columnas.","['Calle de Alcalá 42 (Esq. C/ del Marqués de Casa Riera, 2)']",40.41860188159271,-3.69659517936557
522,Ciudad Romana Baelo Claudia,/es/lugares-interes/ciudad-romana-baelo-claudia/,Andalucía,Cádiz,Tarifa,"Esta próspera ciudad nació a finales del siglo II a. C. La urbanización de las calles es rectangular, destacando dos arterias principales, una horizontal y otra vertical, que se cortan en el foro. En ese punto se encuentran la curia, la basílica y edificios de la vida administrativa de la ciudad. En la parte baja del conjunto se halla el sector monumental, situándose el teatro en la zona de mayor pendiente para aprovechar la inclinación del terreno en la construcción de las gradas. En la parte alta se cree que pudieron ubicarse las viviendas de la plebe. Todavía se conservan las factorías de salazón, el famoso “garum”, que dieron a Baelo Claudia su renombre, así como el mercado, las termas y uno de los tres acueductos que la abastecieron de agua. Declarado Conjunto Arqueológico por la Junta de Andalucía en 1989.","['Ensenada de Bolonia, s/n.']",36.0701485917274,-5.609962506723779
